,Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,Genre_mean_rating,Director_encoded,Actor1_encoded,Actor2_encoded,Actor3_encoded
12,1991,161, Romance,6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,5.838738738738739,5.109375,5.22,6.031481481481482,5.1482758620689655
12,1991,161, Thriller,6.5,983,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey,5.674915254237288,5.109375,5.22,6.031481481481482,5.1482758620689655
13,2012,166,Comedy,5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,5.838422649140546,5.7,6.0,5.7,5.7
13,2012,166, Drama,5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,5.875793244626407,5.7,6.0,5.7,5.7
13,2012,166, Romance,5.7,512,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh,5.838738738738739,5.7,6.0,5.7,5.7
15,2018,102,Comedy,7.4,6619,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz,5.838422649140546,6.17,6.148872180451128,6.368627450980393,6.0625
15,2018,102, Drama,7.4,6619,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz,5.875793244626407,6.17,6.148872180451128,6.368627450980393,6.0625
18,2010,87,Comedy,6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha,5.838422649140546,6.875,6.3,6.3,6.933333333333334
18,2010,87, Drama,6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha,5.875793244626407,6.875,6.3,6.3,6.933333333333334
18,2010,87, Romance,6.3,162,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha,5.838738738738739,6.875,6.3,6.3,6.933333333333334
21,1958,132,Crime,7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala,6.124723247232472,6.439473684210527,7.55,6.925000000000001,6.785294117647059
21,1958,132, Drama,7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala,5.875793244626407,6.439473684210527,7.55,6.925000000000001,6.785294117647059
21,1958,132, Mystery,7.2,72,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala,5.8710204081632655,6.439473684210527,7.55,6.925000000000001,6.785294117647059
22,2021,105,Horror,4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil,4.6875,5.558064516129032,5.331182795698925,6.088888888888889,4.966666666666667
22,2021,105, Thriller,4.4,63,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil,5.674915254237288,5.558064516129032,5.331182795698925,6.088888888888889,4.966666666666667
25,2017,116,Comedy,6.6,26,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik,5.838422649140546,6.6,6.6,6.6,6.6
25,2017,116, Horror,6.6,26,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik,5.0418918918918925,6.6,6.6,6.6,6.6
28,2009,146,Drama,7.3,6329,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,6.248697068403909,7.3,6.841176470588235,6.371428571428572,5.879166666666666
28,2009,146, Horror,7.3,6329,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,5.0418918918918925,7.3,6.841176470588235,6.371428571428572,5.879166666666666
28,2009,146, Mystery,7.3,6329,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon,5.8710204081632655,7.3,6.841176470588235,6.371428571428572,5.879166666666666
30,2005,116,Drama,7.1,1002,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose,6.248697068403909,6.9624999999999995,6.755737704918033,7.03125,6.572727272727272
32,1993,168,Drama,5.6,15,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor,6.248697068403909,5.4,5.2375,4.75,5.316279069767441
33,2002,158,Action,6.9,1235,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover,5.511985472154963,5.614285714285715,6.733333333333333,5.8875,4.96875
33,2002,158, Thriller,6.9,1235,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover,5.674915254237288,5.614285714285715,6.733333333333333,5.8875,4.96875
34,2014,126,Action,3.5,10,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari,5.511985472154963,3.5,3.5,5.752380952380952,4.15
36,2004,94,Drama,4.5,16,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey,6.248697068403909,4.5,4.5,5.752380952380952,4.5
38,2008,138,Horror,6.4,3100,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh,4.6875,4.835,5.123076923076923,5.7,6.400000000000001
38,2008,138, Mystery,6.4,3100,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh,5.8710204081632655,4.835,5.123076923076923,5.7,6.400000000000001
38,2008,138, Romance,6.4,3100,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh,5.838738738738739,4.835,5.123076923076923,5.7,6.400000000000001
39,2016,120,Horror,4.1,1559,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal,4.6875,5.9,4.845454545454546,4.1,4.1
39,2016,120, Mystery,4.1,1559,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal,5.8710204081632655,5.9,4.845454545454546,4.1,4.1
40,2012,124,Drama,4.8,1811,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan,6.248697068403909,3.9285714285714284,4.6571428571428575,5.4375,4.8
40,2012,124, Horror,4.8,1811,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan,5.0418918918918925,3.9285714285714284,4.6571428571428575,5.4375,4.8
40,2012,124, Romance,4.8,1811,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan,5.838738738738739,3.9285714285714284,4.6571428571428575,5.4375,4.8
41,2018,144,Horror,4.5,1069,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt,4.6875,4.835,4.05,4.5,4.7
41,2018,144, Mystery,4.5,1069,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt,5.8710204081632655,4.835,4.05,4.5,4.7
41,2018,144, Romance,4.5,1069,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt,5.838738738738739,4.835,4.05,4.5,4.7
42,1994,157,Action,7.2,3223,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala,5.511985472154963,6.463157894736842,5.667692307692307,5.0462686567164186,5.722727272727273
42,1994,157, Drama,7.2,3223,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala,5.875793244626407,6.463157894736842,5.667692307692307,5.0462686567164186,5.722727272727273
42,1994,157, History,7.2,3223,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala,6.8769230769230765,6.463157894736842,5.667692307692307,5.0462686567164186,5.722727272727273
43,2007,136,Action,8.1,1892,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal,5.511985472154963,6.58,6.733898305084746,7.139999999999999,7.242857142857143
43,2007,136, Drama,8.1,1892,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal,5.875793244626407,6.58,6.733898305084746,7.139999999999999,7.242857142857143
43,2007,136, War,8.1,1892,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal,6.1466666666666665,6.58,6.733898305084746,7.139999999999999,7.242857142857143
44,2019,107,Thriller,4.0,20,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam,5.332584269662922,4.0,4.0,4.0,4.0
45,2017,113,Comedy,5.5,106,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal,5.838422649140546,5.5,5.5,5.5,5.5
50,2012,80,Adventure,6.8,21,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma,6.181904761904762,6.8,6.8,6.8,6.8
50,2012,80, Horror,6.8,21,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma,5.0418918918918925,6.8,6.8,6.8,6.8
50,2012,80, Mystery,6.8,21,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma,5.8710204081632655,6.8,6.8,6.8,6.8
51,2003,122,Action,5.0,33,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika,5.511985472154963,5.0,5.771428571428571,5.0,4.425
51,2003,122, Crime,5.0,33,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika,5.683443708609272,5.0,5.771428571428571,5.0,4.425
51,2003,122, Thriller,5.0,33,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika,5.674915254237288,5.0,5.771428571428571,5.0,4.425
53,2014,149,Comedy,6.9,24034,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh,5.838422649140546,5.58,5.616666666666666,5.7,5.3025
53,2014,149, Drama,6.9,24034,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh,5.875793244626407,5.58,5.616666666666666,5.7,5.3025
53,2014,149, Romance,6.9,24034,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh,5.838738738738739,5.58,5.616666666666666,5.7,5.3025
54,2018,148,Action,6.2,21938,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson,5.511985472154963,7.2875,6.161818181818181,5.665591397849462,5.550000000000001
54,2018,148, Sci-Fi,6.2,21938,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson,5.1000000000000005,7.2875,6.161818181818181,5.665591397849462,5.550000000000001
55,1998,149,Crime,3.5,112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu,6.124723247232472,5.095348837209302,5.22,5.372881355932203,5.783333333333333
55,1998,149, Mystery,3.5,112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu,5.8710204081632655,5.095348837209302,5.22,5.372881355932203,5.783333333333333
55,1998,149, Thriller,3.5,112,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu,5.674915254237288,5.095348837209302,5.22,5.372881355932203,5.783333333333333
58,2017,130,Comedy,6.1,94,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda,5.838422649140546,5.875,6.25,6.1,6.1
60,2018,124,Thriller,6.1,8,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh,5.332584269662922,6.1,6.0125,6.1,6.1
61,1979,121,Drama,7.7,52,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit,6.248697068403909,7.7,7.7,5.288888888888889,7.7
61,1979,121, History,7.7,52,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit,6.8769230769230765,7.7,7.7,5.288888888888889,7.7
62,2019,126,Sport,6.1,361,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor,5.8,6.1,6.675,6.1,6.7
63,2002,188,Biography,5.1,642,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh,6.697619047619048,4.68125,4.793617021276596,5.36923076923077,5.3025
63,2002,188, Drama,5.1,642,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh,5.875793244626407,4.68125,4.793617021276596,5.36923076923077,5.3025
63,2002,188, History,5.1,642,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh,6.8769230769230765,4.68125,4.793617021276596,5.36923076923077,5.3025
69,1974,115,Drama,6.9,194,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher,6.248697068403909,6.9,6.966666666666666,6.01304347826087,6.900000000000001
70,2014,103,Horror,5.0,514,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier,4.6875,5.0,5.0,4.933333333333334,5.0
70,2014,103, Romance,5.0,514,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier,5.838738738738739,5.0,5.0,4.933333333333334,5.0
71,2012,114,Comedy,3.3,165,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan,5.838422649140546,4.15,4.845454545454546,3.6,3.3
71,2012,114, Romance,3.3,165,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan,5.838738738738739,4.15,4.845454545454546,3.6,3.3
73,2003,115,Crime,7.8,2322,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla,6.124723247232472,6.8,6.2042553191489365,5.0462686567164186,5.613157894736842
73,2003,115, Drama,7.8,2322,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla,5.875793244626407,6.8,6.2042553191489365,5.0462686567164186,5.613157894736842
74,2019,122,Comedy,6.9,35,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur,5.838422649140546,5.7,6.9,6.9,5.633333333333333
75,2009,170,Comedy,8.4,357889,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,5.838422649140546,8.03076923076923,6.867777777777778,5.822222222222222,8.4
75,2009,170, Drama,8.4,357889,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh,5.875793244626407,8.03076923076923,6.867777777777778,5.822222222222222,8.4
78,2018,100,Drama,6.9,358,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha,6.248697068403909,6.9,6.9,6.9,5.9
79,2015,99,Adventure,4.3,6,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar,6.181904761904762,4.3,5.0600000000000005,4.3,4.3
79,2015,99, Drama,4.3,6,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar,5.875793244626407,4.3,5.0600000000000005,4.3,4.3
82,2015,109,Action,5.8,238,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle,5.511985472154963,5.8,5.84,5.8,6.175
82,2015,109, Drama,5.8,238,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle,5.875793244626407,5.8,5.84,5.8,6.175
82,2015,109, History,5.8,238,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle,6.8769230769230765,5.8,5.84,5.8,6.175
84,2006,140,Comedy,5.7,4373,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor,5.838422649140546,5.779245283018868,5.779245283018868,6.070588235294117,5.741860465116279
84,2006,140, Mystery,5.7,4373,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor,5.8710204081632655,5.779245283018868,5.779245283018868,6.070588235294117,5.741860465116279
84,2006,140, Thriller,5.7,4373,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor,5.674915254237288,5.779245283018868,5.779245283018868,6.070588235294117,5.741860465116279
85,1981,122,Drama,7.5,392,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy,6.248697068403909,6.9624999999999995,7.5,7.5,7.5
85,1981,122, Romance,7.5,392,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy,5.838738738738739,6.9624999999999995,7.5,7.5,7.5
87,2020,128,Crime,5.7,252,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi,6.124723247232472,5.7,5.7,5.7,5.7
87,2020,128, Thriller,5.7,252,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi,5.674915254237288,5.7,5.7,5.7,5.7
88,2019,93,Drama,5.6,93,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub,6.248697068403909,6.585714285714286,6.0,7.025,6.433333333333333
89,1985,102,Horror,5.6,80,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta,4.6875,5.44390243902439,5.775,5.3999999999999995,6.285714285714286
90,2013,125,Horror,3.6,1128,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan,4.6875,3.875,3.875,4.625,5.16
90,2013,125, Sci-Fi,3.6,1128,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan,5.1000000000000005,3.875,3.875,4.625,5.16
90,2013,125, Thriller,3.6,1128,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan,5.674915254237288,3.875,3.875,4.625,5.16
91,2019,145,Horror,6.3,6,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi,4.6875,6.3,6.3,4.944444444444445,6.3
94,2011,121,Drama,7.3,2548,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat,6.248697068403909,5.591666666666666,7.3,7.3,6.8500000000000005
94,2011,121, Mystery,7.3,2548,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat,5.8710204081632655,5.591666666666666,7.3,7.3,6.8500000000000005
94,2011,121, Thriller,7.3,2548,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat,5.674915254237288,5.591666666666666,7.3,7.3,6.8500000000000005
95,2016,75,Drama,4.8,9,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob,6.248697068403909,4.8,4.8,4.8,4.8
97,2012,113,Drama,7.8,21,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik,6.248697068403909,7.8,7.8,7.8,7.45
97,2012,113, Family,7.8,21,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik,6.327197802197802,7.8,7.8,7.8,7.45
97,2012,113, Musical,7.8,21,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik,6.289130434782608,7.8,7.8,7.8,7.45
99,2012,111,Thriller,5.7,75,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan,5.332584269662922,5.5,5.66,4.033333333333334,7.220000000000001
100,1974,134,Action,6.5,36,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar,5.511985472154963,6.53125,6.5,6.3307692307692305,6.5
100,1974,134, Comedy,6.5,36,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar,5.507605633802817,6.53125,6.5,6.3307692307692305,6.5
105,2011,110,Action,4.6,19,G. Venugopal,Akash,Avinash,Gagan,5.511985472154963,4.6,4.6,4.6,4.6
105,2011,110, Adventure,4.6,19,G. Venugopal,Akash,Avinash,Gagan,5.694767441860465,4.6,4.6,4.6,4.6
105,2011,110, Fantasy,4.6,19,G. Venugopal,Akash,Avinash,Gagan,5.688695652173913,4.6,4.6,4.6,4.6
109,2014,104,Horror,4.2,171,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari,4.6875,4.2,4.85,4.2,4.2
110,2007,92,Drama,6.2,31,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia,6.248697068403909,6.466666666666666,6.2,6.2,5.866666666666667
113,2005,136,Comedy,5.3,281,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa,5.838422649140546,3.733333333333333,5.635294117647058,5.716129032258065,7.022222222222222
113,2005,136, Drama,5.3,281,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa,5.875793244626407,3.733333333333333,5.635294117647058,5.716129032258065,7.022222222222222
114,1988,126,Action,5.0,7,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan,5.511985472154963,5.0,4.75,5.75,6.3
116,2016,115,Crime,5.7,398,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt,6.124723247232472,5.85,5.95,5.7,5.75
116,2016,115, Thriller,5.7,398,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt,5.674915254237288,5.85,5.95,5.7,5.75
117,2006,100,Documentary,6.2,10,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash,7.608333333333333,6.2,6.2,7.050000000000001,6.304545454545454
118,2011,137,Drama,6.1,5640,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh,6.248697068403909,7.151724137931034,5.845,6.099999999999999,5.841666666666666
118,2011,137, Mystery,6.1,5640,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh,5.8710204081632655,7.151724137931034,5.845,6.099999999999999,5.841666666666666
118,2011,137, Thriller,6.1,5640,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh,5.674915254237288,7.151724137931034,5.845,6.099999999999999,5.841666666666666
119,1987,127,Drama,4.1,34,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol,6.248697068403909,3.3499999999999996,5.7,5.38,5.335714285714286
119,1987,127, Horror,4.1,34,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol,5.0418918918918925,3.3499999999999996,5.7,5.38,5.335714285714286
119,1987,127, Musical,4.1,34,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol,6.289130434782608,3.3499999999999996,5.7,5.38,5.335714285714286
120,2019,120,Thriller,5.3,449,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta,5.332584269662922,5.3,6.68,6.14,5.550000000000001
121,2019,130,Action,5.3,249,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin,5.511985472154963,5.3,5.14,5.3,5.375
121,2019,130, Biography,5.3,249,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin,6.84516129032258,5.3,5.14,5.3,5.375
121,2019,130, Drama,5.3,249,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin,5.875793244626407,5.3,5.14,5.3,5.375
125,2009,122,Action,5.4,5459,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey,5.511985472154963,6.8,5.440845070422536,5.630434782608695,5.1482758620689655
125,2009,122, Fantasy,5.4,5459,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey,5.688695652173913,6.8,5.440845070422536,5.630434782608695,5.1482758620689655
125,2009,122, Mystery,5.4,5459,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey,5.8710204081632655,6.8,5.440845070422536,5.630434782608695,5.1482758620689655
126,2021,115,Adventure,6.6,21,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert,6.181904761904762,6.599999999999999,6.599999999999999,6.599999999999999,6.599999999999999
126,2021,115, Drama,6.6,21,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert,5.875793244626407,6.599999999999999,6.599999999999999,6.599999999999999,6.599999999999999
126,2021,115, Mystery,6.6,21,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert,5.8710204081632655,6.599999999999999,6.599999999999999,6.599999999999999,6.599999999999999
128,2003,119,Mystery,4.7,66,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai,5.854237288135593,6.0200000000000005,5.766666666666667,4.98,4.7
128,2003,119, Thriller,4.7,66,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai,5.674915254237288,6.0200000000000005,5.766666666666667,4.98,4.7
129,2017,124,Action,5.3,9,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat,5.511985472154963,5.3,4.9,5.3,5.3
132,2009,135,Comedy,7.3,2767,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani,5.838422649140546,6.633333333333333,6.633333333333333,5.3,5.788235294117648
132,2009,135, Crime,7.3,2767,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani,5.683443708609272,6.633333333333333,6.633333333333333,5.3,5.788235294117648
132,2009,135, Drama,7.3,2767,Krishna D.K.,Raj Nidimoru,Kunal Khemu,Boman Irani,5.875793244626407,6.633333333333333,6.633333333333333,5.3,5.788235294117648
133,2019,128,Musical,7.4,1901,Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha,6.095555555555555,7.4,7.4,7.4,7.4
133,2019,128, Romance,7.4,1901,Vishwesh Krishnamoorthy,Ehan Bhat,Edilsy Vargas,Tenzing Dalha,5.838738738738739,7.4,7.4,7.4,7.4
